Plot #,Forest,Elev. Band,Block,Plot,Msmt dates,Tree tag #,Species,Distance (ft),Azm,DBH (in),HT (ft),HTBC (ft),Tor. Pot.,DBH (cm),Basal area (m2),Basal area (m2/ha),Size class,Live/dead,Year death (time of attack or time of injury/other cause),Year Fall (initial),Gnd cont./hng up,2nd Snag status change/year ,BB/Cause,Comments
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2457,PILA,24.4,10,6.1,37,5,1,15.5,0.018854569,0.465569619,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2458,PIPO,23.0,55,21.5,111,35,0,54.6,0.234225334,5.783648384,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2459,PIPO,20.2,58,17.6,111,28,0,44.7,0.156957576,3.875701295,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2460,PIPO,10.9,84,17.9,104,20,0,45.5,0.162354006,4.008953551,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2461,PILA,30.1,122,18.1,101,18,0,46.0,0.166002297,4.099039583,4,L,,,,,,old brooms
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2462,PIPO,26.1,140,20.6,114,50,1,52.3,0.215026204,5.30957064,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2463,PIPO,27.9,145,12.6,57,28,1,32.0,0.080444811,1.986397009,3,D,2016,,,,WPB,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2464,PILA,16.3,181,2.9,14,3,1,7.4,0.004261406,0.10522549,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2465,PIPO,17.8,191,14.7,83,42,1,37.3,0.109494327,2.70370704,3,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2466,PSME,36.9,195,2.7,24,8,1,6.9,0.003693894,0.091212108,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2467,CADE,22.8,221,3.8,16,2,1,9.7,0.00731685,0.180672542,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2468,PIPO,27.3,223,27.2,116,35,0,69.1,0.374882145,9.256840282,5,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2469,PIPO,20.0,228,18.8,108,16,1,47.8,0.17909054,4.422223223,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2470,CADE,29.5,288,5.5,21,2,1,14.0,0.015327888,0.378486455,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2471,PSME,32.1,310,5.0,34,1,1,12.7,0.012667676,0.312798723,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2472,PIPO,15.6,320,19.3,100,23,0,49.0,0.188743309,4.66057585,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2473,PILA,35.3,349,10.4,53,7,0,26.4,0.054805435,1.353292394,2,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2474,PSME,26.5,8,4.3,25,1,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2475,PIPO,9.6,19,19.0,104,36,0,48.3,0.182921245,4.516813557,4,D,2016,,,,WPB,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2476,PSME,23.0,36,2.9,19,1,1,7.4,0.004261406,0.10522549,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2477,PIPO,23.5,105,9.2,59,32,0,23.4,0.042887685,1.059011356,2,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2478,PIPO,28.7,108,3.6,28,,,9.1,0.006566923,0.162154858,1,D,2014,2018,Hung up  ,,SUP/drought,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2479,PIPO,28.4,134,5.4,43,,,13.7,0.014775578,0.36484843,1,D,2014,,,,WPB,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2480,PILA,17.4,158,10.0,63,38,0,25.4,0.050670705,1.251194891,2,L,,,,,,Looking poor (crown thinning) in '17
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2481,PSME,28.7,164,3.2,23,2,1,8.1,0.00518868,0.128122357,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2482,PIPO,34.3,229,22.2,116,39,0,56.4,0.249725503,6.166388901,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2483,PIPO,20.6,234,13.8,84,29,0,35.1,0.096497291,2.382775551,3,D,2016,,,,WPB,RTB. Maggots
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2484,CADE,33.3,305,5.1,22,2,1,13.0,0.01317945,0.325435791,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2485,PIPO,25.1,330,28.9,124,27,0,73.4,0.423206796,10.45010485,6,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2487,PSME,35.3,357,4.6,29,1,1,11.7,0.010721921,0.264752839,1,L,,,,,,"Tree # out of sequence, no # 2486"
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2879,PIPO,29.2,37,18.9,91,,,48.0,0.181000826,4.469393271,4,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2880,PIPO,12.2,77,14.1,85,29,0,35.8,0.100738429,2.487500563,3,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2881,PIPO,24.1,86,13.0,86,,,33.0,0.085633492,2.114519366,3,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2882,PIPO,27.5,101,10.3,69,32,0,26.2,0.053756551,1.32739266,2,D,2016,,,,WPB,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2883,PIPO,18.7,117,10.7,75,,,27.2,0.05801289,1.432493031,2,D,2015,,,,WPB,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2884,PIPO,32.1,127,9.3,59,,,23.6,0.043825093,1.082158461,2,D,2015,,,,WPB,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2885,PIPO,11.2,132,13.9,71,,,35.3,0.097900869,2.417433649,3,D,2015,,,,WPB,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2886,PIPO,31.3,166,8.7,52,27,0,22.1,0.038352657,0.947029413,2,L,,,,,,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2887,PIPO,24.4,192,17.7,89,,,45.0,0.158746252,3.919868474,4,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2888,PIPO,37.0,242,18.4,93,,,46.7,0.171550739,4.236045423,4,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2889,PIPO,15.4,272,11.5,73,35,0,29.2,0.067012008,1.654705244,2,D,2016,2018,Hung up,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2890,PIPO,25.0,282,13.2,77,25,1,33.5,0.088288637,2.180081978,3,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2891,PIPO,29.6,295,6.4,45,32,0,16.3,0.020754721,0.512489427,1,L,,,,,,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2892,PIPO,31.9,306,7.9,66,35,0,20.1,0.031623587,0.780870732,2,L,,,,,,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2893,CADE,33.0,307,3.9,22,1,1,9.9,0.007707014,0.190306743,1,L,,,,,,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2894,PIPO,28.2,336,12.6,75,,,32.0,0.080444811,1.986397009,3,D,2015,,,,WPB,
Eldorado-3000-Plot 3-Site 1,Eldorado,3000,1,3,"Spring 2017, Spring 2018",2895,PIPO,21.1,342,13.1,73,,,33.3,0.086955997,2.147175553,3,D,2015,2018,Hung up,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2896,PIPO,12.0,10,8.9,44,,,22.6,0.040136266,0.991071473,2,D,2015,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2897,PILA,34.1,31,9.2,66,7,1,23.4,0.042887685,1.059011356,2,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2898,PIPO,33.2,40,8.2,70,,,20.8,0.034070982,0.841303445,2,D,2015,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2899,PIPO,30.1,41,15.4,99,15,0,39.1,0.120170644,2.967333804,3,D,2016,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2900,ARME,37.1,53,3.3,19,4,1,8.4,0.00551804,0.136255124,1,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2902,PIPO,34.3,64,12.0,60,15,0,30.5,0.072965815,1.801720643,2,D,2016,,,,WPB,tree # out of order
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2901,PIPO,28.4,100,15.1,67,,,38.4,0.115534275,2.852849471,3,D,2015,,,,WPB,tree # out of order
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2903,PIPO,28.6,116,19.4,94,,,49.3,0.190704266,4.708997092,4,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2904,PIPO,32.3,167,5.2,37,21,0,13.2,0.013701359,0.338323099,1,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2905,PIPO,20.1,171,7.7,42,20,0,19.6,0.030042661,0.741833451,2,D,2016,,,,UNK,Canker. No pitch tubes. RTB
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2906,PIPO,6.9,172,7.6,31,16,0,19.3,0.029267399,0.722690169,2,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2907,PIPO,36.1,188,5.7,26,14,0,14.5,0.016462912,0.40651322,1,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2908,PIPO,35.6,208,14.9,78,20,1,37.8,0.112494032,2.777777778,3,D,2016,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2909,PIPO,34.9,219,8.3,44,13,1,21.1,0.034907049,0.86194816,2,D,2016,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2910,PIPO,18.0,280,7.3,36,18,0,18.5,0.027002419,0.666761757,1,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2911,PIPO,10.9,297,11.8,60,,,30.0,0.07055389,1.742163766,2,D,2014,,,,WPB,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2912,PIPO,28.0,301,7.2,32,16,0,18.3,0.026267694,0.648619432,1,L,,,,,,
Eldorado-3000-Plot 4-Site 1,Eldorado,3000,1,4,"Spring 2017, Spring 2018",2913,PIPO,24.9,349,4.3,22,7,0,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2914,PIPO,34.1,37,7.4,58,33,0,18.8,0.027747278,0.685154322,1,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2915,PIPO,11.8,39,10.5,74,,,26.7,0.055864452,1.379442367,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2916,PIPO,20.1,40,9.6,72,,,24.4,0.046698122,1.153101212,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2917,PIPO,23.6,62,12.9,72,,,32.8,0.08432112,2.082113418,3,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2918,PIPO,15.2,67,9.1,56,,,23.1,0.041960411,1.036114489,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2919,PIPO,14.9,119,17.4,80,20,1,44.2,0.153410627,3.788117652,3,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2920,PIPO,14.7,158,12.3,73,,,31.2,0.07665971,1.892932751,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2921,PIPO,26.3,170,10.4,69,,,26.4,0.054805435,1.353292394,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2922,PIPO,33.3,173,7.8,58,36,0,19.8,0.030828057,0.761226972,2,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2923,PIPO,17.4,189,7.1,51,26,0,18.0,0.025543102,0.630727345,1,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2924,PIPO,32.2,205,4.3,37,25,0,10.9,0.009369013,0.231345935,1,D,2017,,,,SUP,RTB. Woodborers
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2925,PIPO,18.4,224,7.8,67,,,19.8,0.030828057,0.761226972,2,D,2014,,,,WPB,scar
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2926,PIPO,29.4,235,10.5,57,30,0,26.7,0.055864452,1.379442367,2,D,2016,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2927,PIPO,11.9,243,5.6,54,36,0,14.2,0.015890333,0.392374718,1,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2928,PIPO,24.3,334,8.5,46,,,21.6,0.036609584,0.903988309,2,D,2015,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2929,PIPO,9.1,335,8.2,58,29,0,20.8,0.034070982,0.841303445,2,L,,,,,,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2930,PIPO,28.1,340,11.7,70,34,1,29.7,0.069363128,1.712760686,2,D,2016,,,,WPB,
Eldorado-3000-Plot 5-Site 1,Eldorado,3000,1,5,"Spring 2017, Spring 2018",2931,PIPO,24.0,351,9.4,60,29,1,23.9,0.044772635,1.105555806,2,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2811,PIPO,31.2,47,29.3,125,32,0,74.4,0.435002936,10.74138302,6,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2812,PIPO,30.3,71,24.0,88,19,0,61.0,0.291863261,7.206882573,5,D,2016,,,,WPB,broken top
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2813,PIPO,12.3,81,23.4,119,40,0,59.4,0.277452513,6.851042746,5,D,2016,,,,WPB,broken top
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2814,PIPO,31.0,194,24.0,108,24,0,61.0,0.291863261,7.206882573,5,L,,,,,,
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2815,PIPO,33.2,214,24.9,116,24,0,63.2,0.314163439,7.757533444,5,L,,,,,,
Eldorado-3000-Plot 6-Site 2,Eldorado,3000,2,6,"Spring 2017, Spring 2018",2816,PIPO,6.0,301,27.5,136,21,0,69.9,0.383197207,9.462161364,6,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2818,PIPO,20.7,79,23.5,103,17,0,59.7,0.279828969,6.909723786,5,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2819,PIPO,18.3,118,13.5,74,16,0,34.3,0.09234736,2.280302689,3,D,2016,,,,WPB,RTB. Broken @ 21 ft.
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2820,PIPO,36.7,146,23.0,107,18,0,58.4,0.26804803,6.618820974,5,L,,,,,,"Dead top. 4/5 of crown dead in spring '17, '18"
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2821,PIPO,16.4,197,13.6,75,15,0,34.5,0.093720536,2.314210071,3,L,,,,,,dead top 
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2822,PIPO,23.8,258,7.9,19,,,20.1,0.031623587,0.780870732,2,D,2014,2018,Hung up,,WPB/MPB,Logging scar
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2817,PIPO,10.1,315,11.7,70,,,29.7,0.069363128,1.712760686,2,D,2015,,,,WPB,Tree # out of order
Eldorado-3000-Plot 7-Site 2,Eldorado,3000,2,7,"Spring 2017, Spring 2018",2823,PIPO,23.8,345,12.1,34,11,0,30.7,0.074186979,1.83187444,2,L,,,,,,Broken top. Dwarf mistletoe
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2824,PIPO,6.2,9,16.1,92,14,0,40.9,0.131343535,3.243222277,3,D,2016,,,,UNK,RTB. Too much wood borer to tell. Some pitch tubes
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2825,PIPO,32.0,38,29.7,151,27,0,75.4,0.446961223,11.03666502,6,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2826,PIPO,26.8,120,29.8,151,,,75.7,0.44997613,11.11111111,6,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2827,PIPO,34.6,178,27.6,122,,,70.1,0.385989163,9.531102203,6,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2828,CADE,19.5,185,2.6,10,1,1,6.6,0.00342534,0.084580775,1,L,,,,,,
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2829,PIPO,24.8,210,19.6,68,25,0,49.8,0.194656581,4.806590294,4,D,2016,2018,Ground contact ,,WPB,RTB. Broken top
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2830,PIPO,15.1,218,20.1,104,,,51.1,0.204714716,5.05495248,4,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2831,PIPO,17.9,227,13.7,79,17,1,34.8,0.095103846,2.348367691,3,D,2016,,,,WPB,RTB. Scar
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2832,CADE,13.0,247,3.9,14,3,1,9.9,0.007707014,0.190306743,1,L,,,,,,
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2833,PIPO,21.8,307,16.9,62,,,42.9,0.144720601,3.573537729,3,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2834,PIPO,24.8,309,19.7,72,,,50.0,0.196647939,4.855762253,4,D,2015,2018,Hung up,,WPB,RTB
Eldorado-3000-Plot 8-Site 2,Eldorado,3000,2,8,"Spring 2017, Spring 2018",2835,PIPO,30.4,357,24.7,116,,,62.7,0.309136905,7.633414911,5,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2836,CADE,26.1,1,4.3,19,1,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2837,QUCH,15.9,8,4.3,26,1,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2838,PIPO,25.6,20,17.7,86,,,45.0,0.158746252,3.919868474,4,D,2014,,,,WPB,RTB
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2839,CADE,31.0,47,3.1,18,1,1,7.9,0.004869455,0.120239829,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2840,CADE,12.5,50,4.7,16,2,1,11.9,0.011193159,0.276388951,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2841,PIPO,11.1,60,18.6,87,,,47.2,0.175300371,4.328633845,4,D,2014,,,,WPB,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2842,PIPO,25.3,60,23.0,103,,,58.4,0.26804803,6.618820974,5,D,2014,,,,WPB,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2843,CADE,20.1,61,5.9,21,1,1,15.0,0.017638472,0.435540942,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2844,CADE,30.8,61,3.3,19,1,1,8.4,0.00551804,0.136255124,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2845,CADE,34.0,62,5.5,25,7,1,14.0,0.015327888,0.378486455,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2846,PIPO,31.0,71,18.7,89,,,47.5,0.177190389,4.375303415,4,D,2014,,,,WPB,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2847,CADE,28.2,72,2.6,21,1,1,6.6,0.00342534,0.084580775,1,L,,,,,,Leaning ('18)
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2848,CADE,14.5,78,2.7,13,1,1,6.9,0.003693894,0.091212108,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2849,PIPO,29.7,89,12.8,73,,,32.5,0.083018883,2.04995771,3,D,2015,,,,WPB,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2850,CADE,28.2,90,2.5,17,2,1,6.4,0.003166919,0.078199681,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2851,CADE,23.1,99,3.2,21,1,1,8.1,0.00518868,0.128122357,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2852,PIPO,26.9,110,10.4,41,,,26.4,0.054805435,1.353292394,2,D,2014,2017,Ground contact,,WPB,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2853,PIPO,17.0,111,16.8,86,,,42.7,0.143012998,3.531372461,3,D,2015,,,,WPB,RTB
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2854,CADE,17.3,118,3.6,18,1,1,9.1,0.006566923,0.162154858,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2855,CADE,29.8,138,4.3,31,2,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2856,CADE,33.2,150,4.9,40,6,1,12.4,0.012166036,0.300411893,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2857,PIPO,30.2,154,19.5,93,29,1,49.5,0.192675356,4.757668573,4,D,2016,,,,UNK,Too much wood borer to tell. No pitch tubes
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2858,CADE,33.2,167,4.3,26,4,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2859,CADE,35.0,172,6.3,32,4,1,16.0,0.020111203,0.496599252,1,L,,,,,,
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2860,PIPO,20.1,180,15.3,77,17,1,38.9,0.118615054,2.928922121,3,D,2016,,,,WPB,RTB. Fork
Eldorado-3000-Plot 9-Site 2,Eldorado,3000,2,9,"Spring 2017, Spring 2018",2861,CADE,13.9,188,3.2,19,1,1,8.1,0.00518868,0.128122357,1,L,,,,,,
