x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,total_ba,site,forest,elev,rep,crs
-65848.79335750431,98128.4138665805,29,2,12,17,2.6073660280146527,5.164697570727501,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98128.4138665805,29,0,12,17,2.627591606316732,5.115895054702706,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98128.4138665805,31,0,16,15,3.548918128731438,5.983840380889806,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98128.4138665805,21,1,7,14,0.8760087062523909,2.6819189704924344,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98128.4138665805,27,0,10,17,2.255894968068465,6.932812748384351,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98128.4138665805,21,0,9,12,1.361586602291024,3.033515911470059,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98108.4138665805,4,10,2,2,0.41717111314482397,0.48474032674957923,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98108.4138665805,5,10,0,5,0.5243491234145299,0.7430010634370845,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98108.4138665805,4,14,1,3,0.8902308291328214,1.1892402645028242,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98108.4138665805,16,10,5,11,1.6366935023470093,2.719712152079669,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98108.4138665805,23,3,9,14,0.8107602896043471,1.8964854861134757,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98108.4138665805,27,0,7,20,0.7438189857382547,2.160148135899382,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98108.4138665805,28,0,11,17,1.3643848735611879,3.470757257428904,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98108.4138665805,33,0,17,16,3.7835674811282667,7.898754710964026,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98108.4138665805,27,0,10,17,1.6073646615472506,4.5289771992073,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98108.4138665805,21,3,16,5,2.221012243878095,2.5692257241701975,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98108.4138665805,33,1,24,9,1.7766657821913863,2.451730570650337,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98108.4138665805,29,0,12,17,0.8699490074061258,2.217017777397436,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98108.4138665805,26,0,18,8,1.279414306568146,2.063840093230471,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98108.4138665805,23,0,6,17,0.73131969968636,3.2899098918136427,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98108.4138665805,19,2,11,8,1.290199024847512,1.754032282854961,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98108.4138665805,39,0,12,27,3.065975119998433,8.799453249357262,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98108.4138665805,33,0,15,18,2.4570189181460966,4.4021291353686065,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98108.4138665805,29,1,10,19,2.4192952329428326,6.358311357269279,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98108.4138665805,11,0,2,9,0.3299455676783452,0.8777725975522223,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98108.4138665805,30,2,15,15,3.437086861781895,6.075575291530691,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98108.4138665805,23,4,16,7,1.612783055619356,2.3844780146481663,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98108.4138665805,31,1,17,14,2.1383118042246374,3.860813531060556,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98108.4138665805,28,0,9,19,1.7483178313926953,4.987470708505333,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98108.4138665805,29,0,6,23,1.0186282871300048,6.317873102323078,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98108.4138665805,28,0,7,21,0.9613474526600071,4.348813528020841,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98108.4138665805,23,1,8,15,1.7085114248583946,3.758478151483407,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98108.4138665805,32,1,9,23,1.890337336900828,7.191391573921834,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98088.4138665805,2,7,0,2,0.18744395145688603,0.19652625595863676,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98088.4138665805,13,5,2,11,0.30705444489423317,1.5916823797352333,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98088.4138665805,14,14,4,10,1.0096030231342665,1.70015179612715,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98088.4138665805,23,3,10,13,1.314814740458134,2.455192129664314,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98088.4138665805,23,0,8,15,0.34313648976412586,0.9996579263185048,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98088.4138665805,27,0,8,19,0.8774774150944988,3.49859050038897,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98088.4138665805,20,0,8,12,0.5205717152433329,1.3247899481361674,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98088.4138665805,29,0,9,20,2.7294201519643484,6.5307010742048535,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98088.4138665805,18,0,10,8,1.031334881658807,1.9692596042470252,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98088.4138665805,17,1,10,7,1.4461704069991643,3.0080012305158146,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98088.4138665805,20,0,8,12,0.6370162594268355,1.3382318237218254,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98088.4138665805,25,2,18,7,2.0603206922560307,2.5592925594047715,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98088.4138665805,21,0,15,6,1.320724919324231,1.8136896406798766,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98088.4138665805,25,7,4,21,1.841076310288902,5.327737829377329,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98088.4138665805,28,1,11,17,1.2329831392147836,2.7548380515220328,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98088.4138665805,30,0,14,16,4.219173555500462,7.528517467471067,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98088.4138665805,7,0,5,2,0.5077127763056497,0.6334598784311256,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98088.4138665805,15,1,1,14,0.18775881206015865,1.7367941319314981,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98088.4138665805,24,0,7,17,1.478119438341616,3.89364607081865,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98088.4138665805,26,1,11,15,1.8411171310194687,3.955803142730657,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98088.4138665805,21,4,10,11,0.5698441371622149,1.2038032736768183,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98088.4138665805,20,0,8,12,0.8869437349093199,2.233517553257751,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98088.4138665805,26,2,4,22,0.9175462978473189,3.9897793845561584,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98088.4138665805,19,5,6,13,1.5696666763583056,3.7300849282267494,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98088.4138665805,21,2,10,11,2.051557730067754,4.3753276548015005,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98088.4138665805,34,0,13,21,3.2384312700782267,9.100572857120731,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98088.4138665805,31,6,16,15,2.814681496672165,4.334266480383837,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98068.4138665805,5,9,1,4,0.516399095743087,0.597547716063907,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98068.4138665805,8,9,5,3,1.0432811077548032,1.447471658868314,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98068.4138665805,17,7,8,9,1.640031029027095,2.5525761737504835,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98068.4138665805,30,0,11,19,1.4375617170270618,3.5254038604231557,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98068.4138665805,24,0,11,13,1.3304989356025223,3.0223226768049107,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98068.4138665805,19,3,11,8,1.3639346706399722,2.4719404376966283,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98068.4138665805,15,6,2,13,0.9243991574465587,2.4393264961682632,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98068.4138665805,24,3,8,16,1.2507516699666354,3.2246113350212613,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98068.4138665805,24,0,8,16,0.979196553266824,2.6380789656604753,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98068.4138665805,16,0,4,12,0.4849865318356084,2.6222411434797963,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98068.4138665805,16,2,6,10,0.8475601046758396,2.0667056228650162,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98068.4138665805,29,1,10,19,2.00871725214561,5.655917833048372,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98068.4138665805,16,2,13,3,2.8532736306147064,3.4061178717339646,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98068.4138665805,23,1,9,14,2.1883747824887405,5.236708135023492,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98068.4138665805,24,0,7,17,1.557024374896041,4.122547563270836,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98068.4138665805,23,0,13,10,1.5517257628905474,2.4873573301362524,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98068.4138665805,19,2,8,11,0.7757511638544908,2.845007616510688,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98068.4138665805,26,2,15,11,4.010299130791722,6.423133923531599,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98068.4138665805,30,0,6,24,1.4410470757019396,6.847416509196997,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98068.4138665805,15,1,4,11,0.5007894565226882,1.5748254911561312,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98068.4138665805,27,6,14,13,2.5903482541635534,4.62627907100315,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98068.4138665805,23,0,12,11,0.522223160532187,1.328382339979093,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98068.4138665805,31,0,7,24,1.1512198391280182,5.305060099013183,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98068.4138665805,33,0,4,29,0.7700216435172975,6.781156206412778,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98068.4138665805,20,0,6,14,1.193649697074475,4.141838629662612,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98068.4138665805,22,1,14,8,2.3457635859011,4.2148943393771665,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98068.4138665805,28,1,16,12,2.805143991694609,5.010407992258439,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98048.4138665805,7,8,1,6,0.3927500668735981,0.8706191484839162,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98048.4138665805,5,3,2,3,0.449895775310813,0.7574523474696371,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98048.4138665805,9,8,4,5,0.8129161058703855,1.4286421302846595,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98048.4138665805,14,4,7,7,1.4563003249373239,2.062421062528498,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98048.4138665805,21,2,12,9,1.7844016556462012,3.0877751920666743,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98048.4138665805,23,10,10,13,3.066121749803682,5.486000795919923,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98048.4138665805,24,7,10,14,2.063895233329802,4.243707073630972,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98048.4138665805,31,1,15,16,1.9404870966390149,4.459888916377372,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98048.4138665805,35,0,8,27,1.6465404655505593,8.209719917090203,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98048.4138665805,21,0,8,13,2.152855777913985,4.708125453400787,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98048.4138665805,21,0,6,15,1.3816640169784569,4.729099463796702,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98048.4138665805,28,11,11,17,5.208209646185934,8.883084104195358,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98048.4138665805,18,1,6,12,0.988990732046403,2.687687759593322,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98048.4138665805,23,2,13,10,2.650480215900479,4.191648355203695,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98048.4138665805,25,0,15,10,2.388489257907396,3.5210934463637416,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98048.4138665805,20,3,12,8,0.78977405964136,1.1590824386085632,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98048.4138665805,22,5,9,13,1.5105928952805978,2.8801337393204145,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98048.4138665805,23,0,6,17,0.6701287652219658,4.386862401902568,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98048.4138665805,28,0,7,21,1.5683796994045307,7.5379988759472765,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98048.4138665805,19,1,6,13,1.200999782206483,2.9993126826744354,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98048.4138665805,25,1,7,18,1.4534894707192116,4.040590946854402,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98048.4138665805,23,0,7,16,0.6567177274965281,2.228130360582141,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98048.4138665805,26,3,14,12,2.6943330779807213,5.30743438836084,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98048.4138665805,26,2,5,21,0.8101879378828726,4.1979082708995845,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98048.4138665805,28,2,7,21,1.3426137082843963,4.767506622533558,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98048.4138665805,26,2,12,14,1.931709982881446,4.282119171504229,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98048.4138665805,17,0,7,10,1.079464660873785,4.351704529188873,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98028.4138665805,5,13,1,4,0.9865837876073703,1.5137706855940247,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98028.4138665805,4,5,4,0,0.24791636648286697,0.24791636648286697,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98028.4138665805,4,9,1,3,0.3296044153423358,0.6557251905794579,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98028.4138665805,7,8,5,2,1.285226146480082,1.3328387054889828,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98028.4138665805,15,6,7,8,1.6603405449227957,2.5757541200007728,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98028.4138665805,10,18,4,6,1.9712133563224437,2.6720771964236008,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98028.4138665805,24,0,9,15,0.7973983575180561,2.4160694598202697,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98028.4138665805,31,0,15,16,2.373970734822205,5.301378406532141,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98028.4138665805,28,0,18,10,3.904247389246303,5.082118457677291,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98028.4138665805,25,0,13,12,3.5160033996499243,6.358061010567824,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98028.4138665805,35,0,19,16,4.044388970322936,7.95091325972171,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98028.4138665805,29,1,8,21,2.2750243514135513,6.766506173649054,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98028.4138665805,29,1,8,21,2.1770094387143466,8.52787417861415,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98028.4138665805,23,1,9,14,1.779161480198509,4.579181836862443,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98028.4138665805,24,0,8,16,1.1655923395314398,3.233082221201518,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98028.4138665805,30,0,10,20,0.9531087422539801,2.999010786143537,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98028.4138665805,25,1,7,18,1.0515548944895186,4.382350109112998,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98028.4138665805,29,0,9,20,1.5771572751316465,5.9426796756678355,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98028.4138665805,25,0,7,18,1.2847702936478398,4.915934569239168,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98028.4138665805,28,0,12,16,1.8690112826923486,4.940335709761139,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98028.4138665805,19,0,3,16,0.4052391148924626,2.582174275294621,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98028.4138665805,22,4,4,18,1.0162824239818533,4.293703046038947,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98028.4138665805,25,2,5,20,1.124202061373847,4.2206100413022725,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98028.4138665805,30,0,12,18,1.5102762699142498,4.778224485047584,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98028.4138665805,30,0,7,23,1.0503645872757768,4.898302504838972,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98028.4138665805,22,1,4,18,0.47237942750995887,3.0594977610986396,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98028.4138665805,22,0,8,14,0.8033354639074753,2.2734576473867816,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98008.4138665805,1,13,0,1,0.37906110564936724,0.48609017347803574,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98008.4138665805,5,9,5,0,0.36081102236269286,0.36081102236269286,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98008.4138665805,3,8,3,0,0.7040949983704787,0.7040949983704787,eldo_3k_1,eldo,3k,1,3310
