Estimate,Est.Error,lwr0_025,upr0_975,beta
-0.5142094321435101,0.04403787065309987,-0.6029180209112787,-0.4323731406331863,Intercept
0.06963037585328938,0.06944665850329884,-0.06778163971294199,0.20490073074892123,site_cwd_zscore
0.9066205287344152,0.04447802178440483,0.8203149553966219,0.9955734878041995,pipo_and_dead_tpha_s
-0.2970391102425249,0.10094650216147978,-0.49864713712441544,-0.09910576476248943,pipo_and_dead_qmd_s
-0.8002996878316183,0.04600769837234438,-0.891167582131713,-0.710325289776887,overall_tpha_s
-0.06378809036693055,0.09955686194967861,-0.26410093779188537,0.13370647424722154,overall_qmd_s
-0.08581255943249985,0.07030000109797559,-0.22346172290854086,0.05219446773838145,site_cwd_zscore:pipo_and_dead_tpha_s
0.7246849699087787,0.17598422767233113,0.3713487147224566,1.0739140929902435,site_cwd_zscore:pipo_and_dead_qmd_s
-0.011907721161130176,0.042599279199082275,-0.0964628122487527,0.07114174640678311,pipo_and_dead_tpha_s:pipo_and_dead_qmd_s
-0.10730863119998568,0.07727273200140564,-0.2579331235811571,0.04779728668100327,site_cwd_zscore:overall_tpha_s
-0.21622396621078624,0.16952265065958508,-0.5527328558588068,0.11892290828777606,site_cwd_zscore:overall_qmd_s
0.1212690822281124,0.038880102428342424,0.0453600991151544,0.19910083712263926,overall_tpha_s:overall_qmd_s
0.19661539538551592,0.07327503994588401,0.05113378871104513,0.3468817266926765,site_cwd_zscore:pipo_and_dead_tpha_s:pipo_and_dead_qmd_s
-0.1360974341362078,0.069536750825615945,-0.27587093014782976,-0.0025251905994284835,site_cwd_zscore:overall_tpha_s:overall_qmd_s
