plot,ttops_method,elapsed_time,total_tree_count,live_tree_count,dead_tree_count,total_density_tph,live_density_tph,dead_density_tph,live_proportion,height_lwr_25,height_mean,height_upr_25,nn_1_mean,nn_2_mean,nn_3_mean,tree_count_above_15m,tree_count_below_15m
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_15_speedUp_10,0.537562131881714,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_15_speedUp_15,2.84239792823792,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_20_speedUp_10,0.878651142120361,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_20_speedUp_15,3.03488397598267,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_25_speedUp_10,0.878649950027466,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_0_zu_25_speedUp_15,2.95310187339783,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_15_speedUp_10,0.832772016525269,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_15_speedUp_15,2.87730479240417,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_20_speedUp_10,0.917546033859253,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_20_speedUp_15,3.01394009590149,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_25_speedUp_10,0.92945384979248,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2.5_R_2_zu_25_speedUp_15,2.96407222747803,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_15_speedUp_10,0.528584957122803,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_15_speedUp_15,2.85436487197876,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_20_speedUp_10,0.891617059707642,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_20_speedUp_15,2.9760408401489302,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_25_speedUp_10,0.900592088699341,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_0_zu_25_speedUp_15,3.00595998764038,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_15_speedUp_10,0.830776929855347,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_15_speedUp_15,2.87531089782715,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_20_speedUp_10,0.906574964523315,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_20_speedUp_15,3.0059609413147,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_25_speedUp_10,0.920537948608398,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_2_R_2_zu_25_speedUp_15,2.98801016807556,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_15_speedUp_10,0.623354911804199,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_15_speedUp_15,2.86433911323547,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_20_speedUp_10,0.901588916778564,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_20_speedUp_15,2.94312906265259,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_25_speedUp_10,0.905578136444092,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_0_zu_25_speedUp_15,2.95509815216064,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
eldo_3k_1_3,li2012_dt1_1.5_dt2_3_R_2_zu_15_speedUp_10,0.862694025039673,8,NA,NA,197.68430517373224,NA,NA,NA,5.62425,9.5885,12.29225,3.8330893326177087,7.790396999852148,9.030990831463903,1,7
